t,uL,uR,uL_act,uR_act,vL,vR,heading,tag
0.0000,0.00,0.00,-5.93,-6.36,-20.204,-19.638,164.029,static
0.0100,0.00,0.00,-5.66,-4.82,-19.569,-18.284,164.091,static
0.0200,0.00,0.00,-3.96,-3.48,-14.689,-13.369,164.159,static
0.0300,0.00,0.00,-2.60,-2.36,-11.114,-9.774,164.203,static
0.0400,0.00,0.00,-1.71,-1.60,-7.756,-6.821,164.221,static
0.0500,0.00,0.00,-1.20,-1.06,-6.863,-4.964,164.213,static
0.0600,0.00,0.00,-0.75,-0.76,-4.433,-4.084,164.176,static
0.0700,0.00,0.00,-0.55,-0.63,-3.777,-3.421,164.117,static
0.0800,0.00,0.00,-0.43,-0.54,-3.449,-3.114,164.042,static
0.0900,0.00,0.00,-0.39,-0.43,-3.002,-2.527,163.962,static
0.1000,0.00,0.00,-0.37,-0.33,-2.730,-2.269,163.877,static
0.1100,0.00,0.00,-0.35,-0.28,-2.101,-2.150,163.787,static
0.1200,0.00,0.00,-0.33,-0.25,-1.850,-1.983,163.697,static
0.1300,0.00,0.00,-0.28,-0.20,-1.585,-1.738,163.604,static
0.1400,0.00,0.00,-0.32,-0.18,-1.396,-1.592,163.518,static
0.1500,0.00,0.00,-0.33,-0.16,-1.312,-1.948,163.452,static
0.1600,0.00,0.00,-0.31,-0.16,-1.738,-1.222,163.405,static
0.1700,0.00,0.00,-0.28,-0.18,-2.011,-1.152,163.369,static
0.1800,0.00,0.00,-0.23,-0.11,-1.927,-1.075,163.367,static
0.1900,0.00,0.00,-0.18,-0.02,-1.655,-1.075,163.362,static
0.2000,0.00,0.00,-0.07,0.04,-1.655,-0.949,163.346,static
0.2100,0.00,0.00,-0.01,0.06,-1.655,-0.475,163.319,static
0.2200,0.00,0.00,0.03,0.02,-1.613,-0.475,163.283,static
0.2300,0.00,0.00,0.06,-0.01,-1.522,-0.314,163.237,static
0.2400,0.00,0.00,0.05,-0.00,-1.019,-0.314,163.184,static
0.2500,0.00,0.00,0.01,0.00,-1.061,-0.314,163.126,static
0.2600,0.00,0.00,0.01,-0.01,-1.061,-0.042,163.067,static
0.2700,0.00,0.00,0.01,0.00,-1.061,0.272,163.007,static
0.2800,0.00,0.00,0.00,0.00,-1.354,0.272,162.955,static
0.2900,0.00,0.00,0.00,0.00,-1.159,0.000,162.924,static
0.3000,0.00,0.00,0.00,-0.00,-1.159,5.215,162.916,static
0.3100,0.00,0.00,0.00,-0.01,0.000,5.215,162.921,static
0.3200,0.00,0.00,0.00,0.00,0.572,5.215,162.929,static
0.3300,0.00,0.00,0.01,-0.00,0.572,5.215,162.934,static
0.3400,0.00,0.00,0.00,-0.00,0.572,5.215,162.937,static
0.3500,0.00,0.00,0.00,-0.00,0.572,5.215,162.942,static
0.3600,0.00,0.00,0.00,0.00,0.572,0.000,162.949,static
0.3700,0.00,0.00,0.00,0.00,0.572,0.000,162.957,static
0.3800,0.00,0.00,0.00,0.00,0.000,0.000,162.964,static
0.3900,0.00,0.00,0.00,0.00,0.000,0.000,162.965,static
0.4000,0.00,0.00,0.00,-0.00,0.000,0.000,162.963,static
0.4100,0.00,0.00,0.00,0.00,0.000,0.000,162.957,static
0.4200,0.00,0.00,0.00,0.00,0.000,0.000,162.952,static
0.4300,0.00,0.00,0.01,-0.00,0.000,0.000,162.948,static
0.4400,0.00,0.00,0.00,0.00,0.000,0.000,162.945,static
0.4500,0.00,0.00,0.01,0.00,0.000,0.000,162.946,static
0.4600,0.00,0.00,0.00,-0.00,0.000,0.000,162.950,static
0.4700,0.00,0.00,0.01,-0.00,0.000,0.000,162.954,static
0.4800,0.00,0.00,0.00,0.00,0.000,0.000,162.954,static
0.4900,0.00,0.00,0.00,0.00,0.000,0.000,162.954,static
0.5000,0.00,0.00,0.00,0.00,0.000,0.000,162.954,static
0.5100,0.00,0.00,0.00,-0.00,0.000,0.000,162.954,static
0.5200,0.00,0.00,0.01,0.00,0.000,0.000,162.952,static
0.5300,0.00,0.00,0.00,-0.00,0.000,0.000,162.950,static
0.5400,0.00,0.00,0.01,-0.00,0.000,0.000,162.948,static
0.5500,0.00,0.00,0.01,0.00,0.000,0.000,162.946,static
0.5600,0.00,0.00,0.00,0.00,0.000,0.000,162.946,static
0.5700,0.00,0.00,0.00,0.00,0.000,0.000,162.947,static
0.5800,0.00,0.00,0.00,0.00,0.000,0.000,162.949,static
0.5900,0.00,0.00,0.00,0.00,0.000,0.000,162.949,static
0.6000,0.00,0.00,0.01,0.00,0.000,0.000,162.951,static
0.6100,0.00,0.00,0.00,0.00,0.000,0.000,162.951,static
0.6200,0.00,0.00,0.00,0.00,0.000,0.000,162.949,static
0.6300,0.00,0.00,0.00,0.00,0.000,0.000,162.947,static
0.6400,0.00,0.00,0.01,-0.00,0.000,0.000,162.946,static
0.6500,0.00,0.00,0.00,-0.00,0.000,0.000,162.948,static
0.6600,0.00,0.00,0.00,0.00,0.000,0.000,162.948,static
0.6700,0.00,0.00,0.01,0.00,0.000,0.000,162.950,static
0.6800,0.00,0.00,0.00,-0.00,0.000,0.000,162.950,static
0.6900,0.00,0.00,0.00,0.00,0.000,0.000,162.948,static
0.7000,0.00,0.00,0.00,0.00,0.000,0.000,162.948,static
0.7100,0.00,0.00,0.00,0.00,0.000,0.000,162.947,static
0.7200,0.00,0.00,-0.01,0.00,0.000,0.000,162.947,static
0.7300,0.00,0.00,0.00,-0.00,0.000,0.000,162.947,static
0.7400,0.00,0.00,0.00,0.00,0.000,0.000,162.947,static
0.7500,0.00,0.00,0.01,-0.00,0.000,0.000,162.948,static
0.7600,0.00,0.00,0.00,0.00,0.000,0.000,162.949,static
0.7700,0.00,0.00,0.00,0.00,0.000,0.000,162.948,static
0.7800,0.00,0.00,0.00,0.00,0.000,0.000,162.950,static
0.7900,0.00,0.00,0.01,-0.00,0.000,0.000,162.948,static
0.8000,0.00,0.00,0.00,0.00,0.000,0.000,162.949,static
0.8100,0.00,0.00,0.01,0.01,0.000,0.000,162.949,static
0.8200,0.00,0.00,0.01,0.00,0.000,0.000,162.948,static
0.8300,0.00,0.00,0.00,-0.00,0.000,0.000,162.948,static
0.8400,0.00,0.00,0.00,-0.00,0.000,0.000,162.948,static
0.8500,0.00,0.00,0.00,-0.01,0.000,0.000,162.950,static
0.8600,0.00,0.00,0.00,-0.00,0.000,0.000,162.949,static
0.8700,0.00,0.00,0.00,0.00,0.000,0.000,162.947,static
0.8800,0.00,0.00,0.01,0.00,0.000,0.000,162.949,static
0.8900,0.00,0.00,0.00,0.00,0.000,0.000,162.948,static
0.9000,0.00,0.00,0.01,-0.00,0.000,0.000,162.948,static
0.9100,0.00,0.00,0.01,-0.00,0.000,0.000,162.951,static
0.9200,0.00,0.00,0.01,-0.00,0.000,0.000,162.949,static
0.9300,0.00,0.00,0.01,0.00,0.000,0.000,162.948,static
