t_ms,path_len_m,est_x_in,est_y_in,est_theta_deg,est_lat_in,mpc_x_m,mpc_y_m,mpc_th_rad,mpc_vy_mps,mpc_s_m,s_proj_m,s_err_clamped_m,s_after_int_m,u_v_mps,u_w_rads,u_vs_mps,solve_status,solve_ms,sqp_iter,kkt,ref_x_m,ref_y_m,ref_th_rad,meas_v_ins,meas_w_rads,cmd_v_mps,cmd_w_rads
2116,1.398873,-44.7485,14.0372,116.7724,0.0000,-1.136599,0.356538,2.038046,0.000000,0.092800,0.092800,0.000000,0.092800,0.070729,-0.200000,1.200000,0,2.0000,1,0.000000,-1.050270,0.374913,1.328412,0.055636,-0.001595,0.070729,-0.200000
2116,1.398873,-44.7485,14.0372,116.7724,0.0000,-1.136599,0.356538,2.038046,0.000000,0.092800,0.092800,0.000000,0.092800,0.070729,-0.200000,1.200000,0,2.0000,1,0.000000,-1.050270,0.374913,1.328412,0.055636,-0.001595,0.070729,-0.200000
2125,1.398873,-44.7332,14.0295,116.7657,0.0000,-1.135835,0.356153,2.036714,0.000000,0.094848,0.094848,0.000000,0.094848,0.109963,-0.300000,1.200000,0,1.0000,1,0.000000,-1.048282,0.375405,1.328099,1.717340,-0.123154,0.109963,-0.300000
2135,1.398873,-44.7044,14.0150,116.7586,0.0000,-1.134758,0.355612,2.035417,0.000000,0.095176,0.095176,0.000000,0.095176,0.149341,-0.400000,1.200000,0,1.0000,1,0.000000,-1.047964,0.375484,1.328048,3.234416,-0.240573,0.149341,-0.400000
2145,1.398873,-44.6634,13.9943,116.7336,0.0000,-1.133403,0.354932,2.033636,0.000000,0.095228,0.095228,0.000000,0.095228,0.188608,-0.500000,1.200000,0,1.0000,1,0.000000,-1.047913,0.375496,1.328040,4.609880,-0.374911,0.188608,-0.500000
2155,1.398873,-44.6112,13.9681,116.6483,0.0000,-1.131796,0.354129,2.031245,0.000000,0.095236,0.095236,0.000000,0.095236,0.227624,-0.600000,1.200000,0,1.0000,1,0.000000,-1.047905,0.375498,1.328038,5.842830,-0.465179,0.227624,-0.600000
2165,1.398873,-44.5492,13.9370,116.5140,0.0000,-1.129968,0.353221,2.028548,0.000000,0.095238,0.095238,0.000000,0.095238,0.266208,-0.700000,1.200000,0,1.0000,1,0.000000,-1.047903,0.375499,1.328038,6.938567,-0.500530,0.266208,-0.700000
2175,1.398873,-44.4784,13.9019,116.3322,0.0000,-1.127948,0.352226,2.025033,0.000000,0.101190,0.101190,0.000000,0.101190,0.306900,-0.800000,1.200000,0,1.0000,1,0.000000,-1.042126,0.376932,1.327083,7.905567,-0.534709,0.306900,-0.800000
2185,1.398873,-44.4000,13.8632,116.1267,0.0000,-1.125758,0.351158,2.021011,0.000000,0.102202,0.102202,0.000000,0.102202,0.347632,-0.900000,1.200000,0,1.0000,1,0.000000,-1.041144,0.377176,1.326915,8.754136,-0.578235,0.347632,-0.900000
2195,1.398873,-44.3148,13.8216,115.9162,0.0000,-1.123420,0.350028,2.016923,0.000000,0.102374,0.102374,0.000000,0.102374,0.387881,-1.000000,1.200000,0,1.0000,1,0.000000,-1.040977,0.377218,1.326886,9.495348,-0.619687,0.387881,-1.000000
2205,1.398873,-44.2237,13.7776,115.6852,0.0000,-1.120953,0.348849,2.012609,0.000000,0.108427,0.108427,0.000000,0.108427,0.430184,-1.100000,1.200000,0,1.0000,1,0.000000,-1.035104,0.378683,1.325842,10.140338,-0.647912,0.430184,-1.100000
2215,1.398873,-44.1273,13.7315,115.4149,0.0000,-1.118370,0.347629,2.007880,0.000000,0.109517,0.109517,0.000000,0.109517,0.472387,-1.200000,1.200000,0,1.0000,1,0.000000,-1.034047,0.378947,1.325647,10.699852,-0.649049,0.472387,-1.200000
2225,1.398873,-44.0263,13.6838,115.1059,0.0000,-1.115688,0.346380,2.002670,0.000000,0.109713,0.109713,0.000000,0.109713,0.514039,-1.300000,1.200000,0,1.0000,1,0.000000,-1.033857,0.378995,1.325612,11.183965,-0.630709,0.514039,-1.300000
2235,1.398873,-43.9211,13.6349,114.7853,0.0000,-1.112913,0.345109,1.996993,0.000000,0.115845,0.115845,0.000000,0.115845,0.557915,-1.400000,1.200000,0,1.0000,1,0.000000,-1.027909,0.380487,1.324478,11.601942,-0.638897,0.557915,-1.400000
2245,1.398873,-43.8124,13.5851,114.4625,0.0000,-1.110062,0.343822,1.991098,0.000000,0.117011,0.117011,0.000000,0.117011,0.601728,-1.500000,1.200000,0,1.0000,1,0.000000,-1.026779,0.380771,1.324255,11.962172,-0.664951,0.601728,-1.500000
2255,1.398873,-43.7007,13.5347,114.1149,0.0000,-1.107144,0.342527,1.984658,0.000000,0.117232,0.117232,0.000000,0.117232,0.645004,-1.600000,1.200000,0,1.0000,1,0.000000,-1.026564,0.380825,1.324213,12.272168,-0.702182,0.645004,-1.600000
2265,1.398873,-43.5862,13.4839,113.7429,0.0000,-1.104165,0.341229,1.977957,0.000000,0.123446,0.123446,0.000000,0.123446,0.690682,-1.700000,1.200000,0,1.0000,1,0.000000,-1.020538,0.382345,1.322984,12.538600,-0.723061,0.690682,-1.700000
2275,1.398873,-43.4694,13.4330,113.3290,0.0000,-1.101135,0.339936,1.970411,0.000000,0.124689,0.124689,0.000000,0.124689,0.736472,-1.800000,1.200000,0,1.0000,1,0.000000,-1.019334,0.382650,1.322730,12.767347,-0.755385,0.736472,-1.800000
2285,1.398873,-43.3503,13.3822,112.8583,0.0000,-1.098053,0.338652,1.962080,0.000000,0.131185,0.131185,0.000000,0.131185,0.785120,-1.900000,1.200000,0,1.0000,1,0.000000,-1.013038,0.384250,1.321362,12.963565,-0.766930,0.785120,-1.900000
2295,1.398873,-43.2294,13.3313,112.8550,0.0000,-1.094944,0.337343,1.961697,0.000000,0.132549,0.132549,0.000000,0.132549,0.832711,-2.000000,1.200000,0,1.0000,1,0.000000,-1.011716,0.384586,1.321066,13.131753,-0.799508,0.832711,-2.000000
2305,1.398873,-43.1070,13.2803,112.3338,0.0000,-1.091789,0.336064,1.952569,0.000000,0.132835,0.132835,0.000000,0.132835,0.880057,-2.100000,1.200000,0,1.0000,1,0.000000,-1.011439,0.384657,1.321003,13.275823,-0.802568,0.880057,-2.100000
2315,1.398873,-42.9830,13.2301,111.7585,0.0000,-1.088597,0.334809,1.942267,0.000000,0.139224,0.139224,0.000000,0.139224,0.930525,-2.200000,1.200000,0,1.0000,1,0.000000,-1.005250,0.386241,1.319569,13.399166,-0.828681,0.930525,-2.200000
2325,1.398873,-42.8574,13.1808,111.1289,0.0000,-1.085368,0.333583,1.930929,0.000000,0.140629,0.140629,0.000000,0.140629,0.962975,-2.300000,1.200000,0,1.0000,1,0.000000,-1.003888,0.386591,1.319244,13.504716,-0.863661,0.962975,-2.300000
2335,1.398873,-42.7305,13.1326,110.4505,0.0000,-1.082108,0.332389,1.918932,0.000000,0.147345,0.147345,0.000000,0.147345,0.966375,-2.284323,1.200000,0,1.0000,1,0.000000,-0.997386,0.388267,1.317644,13.595006,-0.879328,0.966375,-2.284323
2345,1.398873,-42.6024,13.0857,109.7430,0.0000,-1.078821,0.331233,1.906386,0.000000,0.148889,0.148889,0.000000,0.148889,0.969620,-2.262105,1.200000,0,1.0000,1,0.000000,-0.995890,0.388654,1.317265,13.672215,-0.899033,0.969620,-2.262105
2355,1.398873,-42.4729,13.0402,109.0073,0.0000,-1.075502,0.330114,1.893417,0.000000,0.155733,0.155733,0.000000,0.155733,0.973473,-2.235724,1.200000,0,1.0000,1,0.000000,-0.989266,0.390377,1.315536,13.738220,-0.911832,0.973473,-2.235724
2365,1.398873,-42.3423,12.9962,108.2539,0.0000,-1.072157,0.329036,1.880110,0.000000,0.157376,0.157376,0.000000,0.157376,0.977203,-2.210182,1.200000,0,1.0000,1,0.000000,-0.987677,0.390792,1.315109,13.794633,-0.927747,0.977203,-2.210182
2375,1.398873,-42.2107,12.9537,107.4816,0.0000,-1.068787,0.328000,1.866377,0.000000,0.157770,0.157770,0.000000,0.157770,0.980655,-2.186544,1.200000,0,1.0000,1,0.000000,-0.987296,0.390892,1.315005,13.842839,-0.953103,0.980655,-2.186544
2385,1.398873,-42.0781,12.9129,106.6935,0.0000,-1.065396,0.327008,1.852579,0.000000,0.164443,0.164443,0.000000,0.164443,0.984708,-2.158792,1.200000,0,1.0000,1,0.000000,-0.980842,0.392585,1.313216,13.884025,-0.957343,0.984708,-2.158792
2395,1.398873,-41.9446,12.8739,105.9083,0.0000,-1.061983,0.326062,1.838562,0.000000,0.166111,0.166111,0.000000,0.166111,0.988667,-2.131689,1.200000,0,1.0000,1,0.000000,-0.979229,0.393011,1.312757,13.919207,-0.988713,0.988667,-2.131689
2405,1.398873,-41.8104,12.8367,105.1115,0.0000,-1.058555,0.325161,1.824798,0.000000,0.173189,0.173189,0.000000,0.173189,0.993247,-2.100329,1.200000,0,1.0000,1,0.000000,-0.972387,0.394824,1.310752,13.949257,-0.974315,0.993247,-2.100329
2415,1.398873,-41.6755,12.8013,104.3151,0.0000,-1.055109,0.324308,1.810861,0.000000,0.175029,0.175029,0.000000,0.175029,0.997740,-2.069568,1.200000,0,1.0000,1,0.000000,-0.970609,0.395297,1.310217,13.974921,-0.978182,0.997740,-2.069568
2425,1.398873,-41.5397,12.7676,103.5058,0.0000,-1.051644,0.323502,1.796492,0.000000,0.182258,0.182258,0.000000,0.182258,1.002848,-2.034590,1.200000,0,1.0000,1,0.000000,-0.963626,0.397167,1.308054,13.996837,-1.002558,1.002848,-2.034590
2435,1.398873,-41.4034,12.7359,102.7041,0.0000,-1.048166,0.322743,1.782648,0.000000,0.184210,0.184210,0.000000,0.184210,1.007859,-2.000278,1.200000,0,1.0000,1,0.000000,-0.961741,0.397675,1.307453,14.015551,-0.987568,1.007859,-2.000278
2445,1.398873,-41.2663,12.7060,101.9019,0.0000,-1.044670,0.322032,1.768626,0.000000,0.184737,0.184737,0.000000,0.184737,1.012605,-1.967784,1.200000,0,1.0000,1,0.000000,-0.961233,0.397812,1.307290,14.031530,-0.989689,1.012605,-1.967784
2455,1.398873,-41.1288,12.6780,101.1025,0.0000,-1.041163,0.321369,1.754662,0.000000,0.191726,0.191726,0.000000,0.191726,1.017886,-1.931628,1.200000,0,1.0000,1,0.000000,-0.954486,0.399640,1.305078,14.045172,-0.990965,1.017886,-1.931628
2465,1.398873,-40.9908,12.6519,100.3113,0.0000,-1.037646,0.320754,1.740790,0.000000,0.193683,0.193683,0.000000,0.193683,1.023059,-1.896204,1.200000,0,1.0000,1,0.000000,-0.952598,0.400155,1.304442,14.056820,-0.997298,1.023059,-1.896204
2475,1.398873,-40.8523,12.6277,99.5419,0.0000,-1.034119,0.320185,1.727410,0.000000,0.201168,0.201168,0.000000,0.201168,1.028752,-1.857228,1.200000,0,1.0000,1,0.000000,-0.945379,0.402134,1.301948,14.066763,-0.992469,1.028752,-1.857228
2485,1.398873,-40.7136,12.6053,98.7719,0.0000,-1.030586,0.319665,1.713919,0.000000,0.203339,0.203339,0.000000,0.203339,1.034323,-1.819081,1.200000,0,1.0000,1,0.000000,-0.943287,0.402711,1.301205,14.075252,-0.997541,1.034323,-1.819081
2495,1.398873,-40.5744,12.5848,98.0131,0.0000,-1.027044,0.319189,1.700936,0.000000,0.203968,0.203968,0.000000,0.203968,1.039588,-1.783032,1.200000,0,1.0000,1,0.000000,-0.942680,0.402879,1.300988,14.082498,-0.971597,1.039588,-1.783032
2505,1.398873,-40.4349,12.5661,97.2519,0.0000,-1.023492,0.318761,1.687730,0.000000,0.211190,0.211190,0.000000,0.211190,1.045288,-1.744005,1.200000,0,1.0000,1,0.000000,-0.935722,0.404813,1.298446,14.088684,-0.963588,1.045288,-1.744005
2515,1.398873,-40.2952,12.5492,96.5146,0.0000,-1.019937,0.318378,1.674898,0.000000,0.213357,0.213357,0.000000,0.213357,1.050833,-1.706042,1.200000,0,1.0000,1,0.000000,-0.933635,0.405396,1.297664,14.093964,-0.959869,1.050833,-1.706042
2525,1.398873,-40.1552,12.5341,95.7998,0.0000,-1.016375,0.318038,1.662578,0.000000,0.214007,0.214007,0.000000,0.214007,1.056051,-1.670312,1.200000,0,1.0000,1,0.000000,-0.933009,0.405572,1.297428,14.098471,-0.944322,1.056051,-1.670312
2535,1.398873,-40.0150,12.5207,95.0946,0.0000,-1.012811,0.317743,1.650180,0.000000,0.221342,0.221342,0.000000,0.221342,1.061649,-1.631984,1.200000,0,1.0000,1,0.000000,-0.925949,0.407561,1.294708,14.102318,-0.953385,1.061649,-1.631984
2545,1.398873,-39.8747,12.5091,94.4035,0.0000,-1.009242,0.317489,1.638142,0.000000,0.223616,0.223616,0.000000,0.223616,1.067068,-1.594875,1.200000,0,1.0000,1,0.000000,-0.923762,0.408182,1.293845,14.105602,-0.951035,1.067068,-1.594875
2555,1.398873,-39.7342,12.4991,93.7356,0.0000,-1.005672,0.317277,1.626640,0.000000,0.224321,0.224321,0.000000,0.224321,1.072147,-1.560101,1.200000,0,1.0000,1,0.000000,-0.923084,0.408375,1.293575,14.108405,-0.935492,1.072147,-1.560101
2565,1.398873,-39.5934,12.4907,93.0595,0.0000,-1.002093,0.317106,1.615000,0.000000,0.231783,0.231783,0.000000,0.231783,1.077554,-1.523078,1.200000,0,1.0000,1,0.000000,-0.915910,0.410428,1.290661,14.110798,-0.919500,1.077554,-1.523078
2575,1.398873,-39.4526,12.4840,92.3965,0.0000,-0.998514,0.316975,1.604069,0.000000,0.234170,0.234170,0.000000,0.234170,1.082758,-1.487453,1.200000,0,1.0000,1,0.000000,-0.913616,0.411089,1.289707,14.112840,-0.855348,1.082758,-1.487453
2585,1.398873,-39.3118,12.4789,91.7579,0.0000,-0.994935,0.316884,1.593272,0.000000,0.242276,0.242276,0.000000,0.242276,1.088267,-1.449729,1.200000,0,1.0000,1,0.000000,-0.905832,0.413350,1.286384,14.114583,-0.820572,1.088267,-1.449729
2595,1.398873,-39.1708,12.4754,91.1342,0.0000,-0.991354,0.316833,1.582336,0.000000,0.244951,0.244951,0.000000,0.244951,1.093576,-1.413376,1.200000,0,1.0000,1,0.000000,-0.903265,0.414102,1.285260,14.116071,-0.825564,1.093576,-1.413376
2605,1.398873,-39.0298,12.4733,90.5322,0.0000,-0.987771,0.316819,1.571667,0.000000,0.245834,0.245834,0.000000,0.245834,1.098536,-1.379418,1.200000,0,1.0000,1,0.000000,-0.902418,0.414351,1.284885,14.117341,-0.841737,1.098536,-1.379418
2615,1.398873,-38.8888,12.4727,89.9474,0.0000,-0.984190,0.316840,1.561438,0.000000,0.246125,0.246125,0.000000,0.246125,1.103105,-1.348134,1.200000,0,1.0000,1,0.000000,-0.902138,0.414433,1.284762,14.118425,-0.843953,1.103105,-1.348134
2625,1.398873,-38.7480,12.4736,89.3747,0.0000,-0.980613,0.316896,1.551831,0.000000,0.253683,0.253683,0.000000,0.253683,1.107888,-1.315384,1.200000,0,1.0000,1,0.000000,-0.894891,0.416577,1.281492,14.119350,-0.805087,1.107888,-1.315384
